Company,TypeName,Inches,Ram,OS,Price_euros,Touchscreen,CPU_company,CPU_freq,CPU_model,GPU_company,GPU_model
0,1,2.8094026953624978,1.6094379124341003,3,5.898553985914634,0,1,0.7419373447293773,5,2,2
2,0,2.8094026953624978,2.1972245773362196,3,6.967428860467754,0,1,1.33500106673234,4,3,1
0,1,2.9069010598473755,2.1972245773362196,3,6.75110146893676,0,1,0.9555114450274363,3,3,3
3,1,2.6602595372658615,1.6094379124341003,3,6.626717749249025,0,1,0.9555114450274363,3,2,5
5,3,2.6390573296152584,2.1972245773362196,3,7.2078598714324755,0,1,1.252762968495368,3,2,2
3,1,2.9069010598473755,1.9459101490553132,3,6.551080335043404,0,1,1.252762968495368,3,0,4
4,1,2.8094026953624978,1.6094379124341003,1,5.736572297479192,0,0,1.3609765531356006,5,0,3
5,1,2.8094026953624978,1.6094379124341003,3,6.194405391104672,0,1,1.2237754316221157,2,2,2
3,1,2.9069010598473755,2.1972245773362196,3,6.828712071641684,0,1,0.9555114450274363,3,3,0
2,1,2.8094026953624978,2.1972245773362196,3,6.131226489483141,0,1,1.2237754316221157,2,2,2
0,1,2.8094026953624978,1.6094379124341003,3,6.1092475827643655,0,1,1.0986122886681098,2,2,2
5,0,2.9652730660692823,3.4965075614664802,3,7.937374696163295,0,1,1.3609765531356006,4,3,3
4,1,2.8094026953624978,2.1972245773362196,3,6.70196036600254,0,1,1.252762968495368,3,0,3
3,2,2.6602595372658615,2.1972245773362196,3,7.313220387090301,1,1,0.9555114450274363,3,2,5
2,1,2.8094026953624978,2.833213344056216,0,6.956545443151569,0,1,1.0296194171811581,4,0,4
2,3,2.6602595372658615,2.1972245773362196,3,7.24422751560335,0,1,0.9555114450274363,3,2,5
4,2,2.7013612129514133,2.833213344056216,3,7.52294091807237,1,1,1.0296194171811581,4,2,5
5,1,2.8094026953624978,2.1972245773362196,3,6.677083461247136,0,1,1.252762968495368,3,2,2
5,1,2.8094026953624978,2.1972245773362196,1,7.090076835776092,0,1,0.9555114450274363,3,3,3
2,1,2.9069010598473755,2.833213344056216,3,7.346010209913293,1,1,1.0296194171811581,4,3,0
2,1,2.8094026953624978,2.833213344056216,3,7.7823903355874595,1,1,1.33500106673234,4,3,1
4,0,2.8094026953624978,2.1972245773362196,1,6.659293919683638,0,1,1.252762968495368,3,3,1
0,3,2.6602595372658615,2.1972245773362196,3,6.897704943128636,0,1,0.7884573603642702,3,2,2
2,1,2.9069010598473755,2.1972245773362196,3,6.990256500493881,0,1,1.0296194171811581,4,0,4
4,2,2.70805020110221,2.833213344056216,3,7.946263643580541,1,1,1.308332819650179,4,2,2
5,1,2.70805020110221,1.6094379124341003,3,5.564520407322694,0,1,0.7419373447293773,1,2,2
5,3,2.6602595372658615,2.1972245773362196,1,6.908654874224973,0,1,1.252762968495368,3,3,3
4,1,2.9069010598473755,2.1972245773362196,1,6.54965074223381,0,1,0.9555114450274363,3,3,3
2,2,2.6602595372658615,2.1972245773362196,3,6.733401891837359,1,1,1.0296194171811581,4,2,5
3,1,2.9069010598473755,2.1972245773362196,3,6.818924065275521,0,1,0.9555114450274363,3,3,0
5,0,2.9069010598473755,3.4965075614664802,3,8.716044050161402,1,1,1.3609765531356006,4,3,1
3,1,2.6602595372658615,2.1972245773362196,3,6.866933284461882,0,1,0.9555114450274363,3,2,5
